period,ISO_CNTRY_CODE,country_name,REFUSAL_DATE,REFUSAL_DATE_PARSED,PRDCT_CODE_DESC_TEXT,REFUSAL_CHARGES,mapped_charge_count,mapped_charge_codes,mapped_charge_categories,sps_tbt_category
2019-2023,EC,Ecuador,13-Jul-22,2022-07-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,19-Nov-20,2020-11-19,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,EC,Ecuador,18-Mar-22,2022-03-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,09-Dec-20,2020-12-09,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,EC,Ecuador,10-Jan-23,2023-01-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,30-Apr-21,2021-04-30,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,18-Nov-20,2020-11-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,18-Nov-20,2020-11-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 2580",2,"MFRHACCP-2580, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,21-Dec-20,2020-12-21,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 2580",2,"MFRHACCP-2580, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,01-Dec-20,2020-12-01,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,04-Dec-20,2020-12-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,07-Apr-20,2020-04-07,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,20-Nov-20,2020-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 9, 306, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,04-Jan-23,2023-01-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,17-Jan-21,2021-01-17,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,10-Dec-20,2020-12-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,22-May-23,2023-05-22,"SHRIMP & PRAWNS, BREADED","9, 218, 249",3,"FILTHY-249, LIST INGRE-218, SALMONELLA-9","SPS, TBT",SPS+TBT
2019-2023,IN,India,23-Feb-21,2021-02-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,03-Oct-20,2020-10-03,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3885,1,POIS CHLOR-3885,SPS,SPS
2019-2023,EC,Ecuador,14-Nov-23,2023-11-14,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,30-Aug-21,2021-08-30,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,VN,Vietnam,14-Jul-21,2021-07-14,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,VN,Vietnam,19-Oct-22,2022-10-19,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,VN,Vietnam,19-Feb-21,2021-02-19,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2019-2023,IN,India,29-Nov-23,2023-11-29,SHRIMP & PRAWNS,3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,21-Aug-20,2020-08-21,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,VN,Vietnam,15-Nov-21,2021-11-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,EC,Ecuador,04-May-22,2022-05-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,VN,Vietnam,12-Jun-23,2023-06-12,"SHRIMP & PRAWNS, BREADED",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,EC,Ecuador,10-Jan-23,2023-01-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,29-Nov-23,2023-11-29,SHRIMP & PRAWNS,3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,30-Apr-21,2021-04-30,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,17-Jan-21,2021-01-17,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,04-Jan-21,2021-01-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,23-Feb-21,2021-02-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,29-Sep-23,2023-09-29,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,12-Oct-23,2023-10-12,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,24-Jun-21,2021-06-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,04-Dec-20,2020-12-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,11-Dec-20,2020-12-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,08-Jun-23,2023-06-08,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2019-2023,IN,India,16-May-22,2022-05-16,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,26-Jan-21,2021-01-26,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,02-Sep-21,2021-09-02,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,04-Jan-21,2021-01-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,19-Nov-20,2020-11-19,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,04-Dec-20,2020-12-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,10-Dec-20,2020-12-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,15-Aug-22,2022-08-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","3220, 3885",2,"NITROFURAN-3220, POIS CHLOR-3885",SPS,SPS
2019-2023,IN,India,20-Nov-20,2020-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,11-Dec-20,2020-12-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,10-Dec-20,2020-12-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,28-Dec-20,2020-12-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,21-Jun-21,2021-06-21,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,18-Nov-20,2020-11-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,23-Nov-20,2020-11-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,24-Mar-21,2021-03-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,VN,Vietnam,18-Mar-21,2021-03-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,EC,Ecuador,13-May-22,2022-05-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,21-Jun-21,2021-06-21,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,13-Apr-22,2022-04-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,10-Dec-20,2020-12-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,16-May-22,2022-05-16,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,EC,Ecuador,07-Apr-22,2022-04-07,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,EC,Ecuador,10-Jan-23,2023-01-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,08-Apr-21,2021-04-08,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,11-Jul-22,2022-07-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,EC,Ecuador,07-Apr-22,2022-04-07,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,VN,Vietnam,13-Mar-23,2023-03-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2019-2023,IN,India,01-Apr-20,2020-04-01,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,30-Apr-21,2021-04-30,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,17-Jun-22,2022-06-17,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2019-2023,IN,India,14-Apr-23,2023-04-14,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,01-Apr-21,2021-04-01,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,27-Jan-23,2023-01-27,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,29-Sep-23,2023-09-29,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,22-Jun-20,2020-06-22,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,28-Mar-22,2022-03-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,27-Mar-23,2023-03-27,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,EC,Ecuador,18-Mar-22,2022-03-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,28-Apr-20,2020-04-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,24-Feb-22,2022-02-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,EC,Ecuador,11-Oct-23,2023-10-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,27-Jul-22,2022-07-27,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,15-Dec-20,2020-12-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,EC,Ecuador,04-May-22,2022-05-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,18-Sep-23,2023-09-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,10-Dec-20,2020-12-10,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,VN,Vietnam,15-Nov-22,2022-11-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,20-Nov-20,2020-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",306,1,INSANITARY-306,SPS,SPS
2019-2023,IN,India,11-Dec-20,2020-12-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,12-Dec-23,2023-12-12,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,04-Dec-23,2023-12-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,23-Feb-21,2021-02-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,30-Apr-21,2021-04-30,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,18-Nov-20,2020-11-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,03-Mar-21,2021-03-03,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2019-2023,IN,India,20-Nov-20,2020-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,26-Jan-23,2023-01-26,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,24-Mar-21,2021-03-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2019-2023,IN,India,07-Jun-21,2021-06-07,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,29-Nov-22,2022-11-29,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,24-Feb-22,2022-02-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2900, 3885",2,"CHLORAMP-2900, POIS CHLOR-3885",SPS,SPS
2019-2023,IN,India,28-Aug-20,2020-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2019-2023,IN,India,11-Mar-21,2021-03-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,19-Nov-20,2020-11-19,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",306,1,INSANITARY-306,SPS,SPS
2019-2023,IN,India,20-Nov-20,2020-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,20-Nov-20,2020-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 306",2,"INSANITARY-306, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,04-Jan-23,2023-01-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2019-2023,IN,India,25-Jul-23,2023-07-25,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2019-2023,IN,India,21-Oct-20,2020-10-21,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
